fund_id,valuation_date,fair_value
F01,2025-12-31,20784295.37
F02,2025-12-31,40884892.99
F03,2025-12-31,73313654.13
F04,2025-12-31,110201274.86
F05,2025-12-31,173529056.98
F06,2025-12-31,55659546.22
F07,2025-12-31,
F08,2025-12-31,31625767.93
F09,2025-12-31,193581757.78
F10,2025-12-31,129311674.59
F11,2025-12-31,0.0
F12,2025-12-31,135178654.39
F13,2025-12-31,45780350.52
F14,2025-12-31,58917452.93
F15,2025-12-31,39436934.4
F16,2025-12-31,98519706.82
F17,2025-12-31,155055579.05
F18,2025-12-31,24439937.23
F19,2025-12-31,78675083.29
F20,2025-12-31,32467512.33
F21,2025-12-31,147035924.86
F22,2025-12-31,198617393.95
F23,2025-12-31,113458613.3
F24,2025-12-31,60910741.9
